category,city,customer_id,order_date,order_id,price,product_name,quantity,status,total_amount,year,month,day
Books,HCM,CUST0171,2024-07-10,ORD001250,703.01,Product_3,5,cancelled,3515.05,2024,7,10
Clothing,Hanoi,CUST0606,2024-06-22,ORD001251,517.63,Product_34,10,completed,5176.3,2024,6,22
Toys,Cantho,CUST0899,2024-12-25,ORD001252,746.82,Product_98,7,pending,5227.740000000001,2024,12,25
Clothing,Danang,CUST0629,2024-11-24,ORD001253,938.5,Product_35,6,cancelled,5631.0,2024,11,24
Clothing,Haiphong,CUST0456,2024-10-25,ORD001254,62.89,Product_73,4,pending,251.56,2024,10,25
Electronics,Danang,CUST0742,2024-12-17,ORD001255,817.13,Product_22,4,cancelled,3268.52,2024,12,17
Electronics,Haiphong,CUST0288,2024-11-24,ORD001256,998.54,Product_46,6,cancelled,5991.24,2024,11,24
Food,Haiphong,CUST0336,2024-03-08,ORD001257,756.2,Product_56,10,cancelled,7562.0,2024,3,8
Food,Haiphong,CUST0993,2024-04-04,ORD001258,291.06,Product_22,10,completed,2910.6,2024,4,4
Toys,Hanoi,CUST0965,2024-04-12,ORD001259,591.5,Product_96,8,cancelled,4732.0,2024,4,12
Clothing,Cantho,CUST0338,2024-02-29,ORD001260,851.5,Product_17,1,pending,851.5,2024,2,29
Books,Cantho,CUST0723,2024-08-25,ORD001261,308.94,Product_75,6,cancelled,1853.6399999999999,2024,8,25
Books,Cantho,CUST0235,2024-10-20,ORD001262,805.3,Product_19,5,cancelled,4026.5,2024,10,20
Books,Hanoi,CUST0159,2024-05-12,ORD001263,827.74,Product_6,9,pending,7449.66,2024,5,12
Food,Hanoi,CUST0745,2024-06-24,ORD001264,599.68,Product_11,9,pending,5397.12,2024,6,24
Clothing,Hanoi,CUST0697,2024-04-01,ORD001265,815.06,Product_98,7,completed,5705.42,2024,4,1
Electronics,Danang,CUST0891,2024-08-09,ORD001266,419.59,Product_92,4,cancelled,1678.36,2024,8,9
Books,HCM,CUST0119,2024-04-21,ORD001267,92.71,Product_31,9,completed,834.39,2024,4,21
Toys,Danang,CUST0262,2024-03-15,ORD001268,941.27,Product_100,7,cancelled,6588.889999999999,2024,3,15
Toys,HCM,CUST0868,2024-07-01,ORD001269,877.65,Product_49,1,completed,877.65,2024,7,1
Toys,Haiphong,CUST0139,2024-02-28,ORD001270,216.9,Product_38,5,cancelled,1084.5,2024,2,28
Toys,Danang,CUST0851,2024-08-10,ORD001271,760.04,Product_9,10,pending,7600.4,2024,8,10
Clothing,Hanoi,CUST0104,2024-11-27,ORD001272,893.17,Product_56,2,cancelled,1786.34,2024,11,27
Books,Cantho,CUST0255,2024-02-01,ORD001273,400.43,Product_14,2,pending,800.86,2024,2,1
Clothing,Cantho,CUST0835,2024-01-09,ORD001274,666.89,Product_90,2,pending,1333.78,2024,1,9
Food,Danang,CUST0820,2024-07-26,ORD001275,924.34,Product_63,6,completed,5546.04,2024,7,26
Toys,Hanoi,CUST0161,2024-03-18,ORD001276,985.93,Product_43,3,completed,2957.79,2024,3,18
Toys,Cantho,CUST0913,2024-03-26,ORD001277,398.56,Product_76,1,completed,398.56,2024,3,26
Clothing,HCM,CUST0480,2024-05-27,ORD001278,87.22,Product_84,5,pending,436.1,2024,5,27
Electronics,Cantho,CUST0750,2024-11-14,ORD001279,626.76,Product_76,4,completed,2507.04,2024,11,14
Toys,HCM,CUST0698,2024-06-28,ORD001280,400.99,Product_100,1,cancelled,400.99,2024,6,28
Toys,Hanoi,CUST0249,2024-10-08,ORD001281,964.57,Product_53,3,pending,2893.71,2024,10,8
Clothing,HCM,CUST0697,2024-07-12,ORD001282,758.53,Product_59,6,pending,4551.18,2024,7,12
Books,Danang,CUST0245,2024-04-18,ORD001283,766.86,Product_5,3,completed,2300.58,2024,4,18
Food,HCM,CUST0663,2024-08-13,ORD001284,229.41,Product_38,7,cancelled,1605.87,2024,8,13
Books,HCM,CUST0623,2024-07-26,ORD001285,101.74,Product_84,4,pending,406.96,2024,7,26
Clothing,Haiphong,CUST0074,2024-07-02,ORD001286,180.06,Product_34,4,cancelled,720.24,2024,7,2
Clothing,Hanoi,CUST0198,2024-04-05,ORD001287,253.52,Product_23,3,cancelled,760.5600000000001,2024,4,5
Toys,Hanoi,CUST0895,2024-06-22,ORD001288,520.32,Product_25,8,cancelled,4162.56,2024,6,22
Electronics,Cantho,CUST0531,2024-11-02,ORD001289,467.58,Product_9,2,cancelled,935.16,2024,11,2
Books,Cantho,CUST0217,2024-04-11,ORD001290,591.44,Product_14,4,pending,2365.76,2024,4,11
