category,city,customer_id,order_date,order_id,price,product_name,quantity,status,total_amount,year,month,day
Toys,Danang,CUST0247,2024-03-08,ORD001875,275.2,Product_85,7,completed,1926.3999999999999,2024,3,8
Food,Danang,CUST0074,2024-11-08,ORD001876,827.93,Product_1,5,cancelled,4139.65,2024,11,8
Food,Danang,CUST0679,2024-03-15,ORD001877,741.39,Product_57,7,completed,5189.73,2024,3,15
Food,Hanoi,CUST0594,2024-04-23,ORD001878,608.83,Product_35,9,pending,5479.47,2024,4,23
Toys,HCM,CUST0415,2024-10-23,ORD001879,295.0,Product_62,1,pending,295.0,2024,10,23
Clothing,Danang,CUST0031,2024-05-14,ORD001880,51.15,Product_3,8,pending,409.2,2024,5,14
Clothing,Hanoi,CUST0254,2024-05-19,ORD001881,427.98,Product_31,1,cancelled,427.98,2024,5,19
Electronics,Danang,CUST0634,2024-09-23,ORD001882,311.83,Product_70,6,completed,1870.98,2024,9,23
Toys,HCM,CUST0011,2024-10-22,ORD001883,862.22,Product_12,9,completed,7759.9800000000005,2024,10,22
Toys,Hanoi,CUST0258,2024-01-12,ORD001884,873.27,Product_9,3,pending,2619.81,2024,1,12
Food,HCM,CUST0858,2024-11-06,ORD001885,967.72,Product_12,4,completed,3870.88,2024,11,6
Electronics,Hanoi,CUST0489,2024-04-12,ORD001886,254.45,Product_29,1,completed,254.45,2024,4,12
Electronics,Danang,CUST0922,2024-01-07,ORD001887,83.01,Product_79,4,pending,332.04,2024,1,7
Food,Haiphong,CUST0792,2024-06-03,ORD001888,759.44,Product_58,7,cancelled,5316.08,2024,6,3
Toys,HCM,CUST0167,2024-07-15,ORD001889,821.1,Product_38,6,cancelled,4926.6,2024,7,15
Clothing,Hanoi,CUST0941,2024-01-23,ORD001890,615.68,Product_32,4,completed,2462.72,2024,1,23
Clothing,HCM,CUST0829,2024-11-27,ORD001891,673.75,Product_36,3,completed,2021.25,2024,11,27
Electronics,Hanoi,CUST0771,2024-10-28,ORD001892,342.12,Product_32,9,pending,3079.08,2024,10,28
Clothing,HCM,CUST0411,2024-10-20,ORD001893,254.41,Product_50,3,cancelled,763.23,2024,10,20
Food,Danang,CUST0083,2024-10-16,ORD001894,394.17,Product_8,1,pending,394.17,2024,10,16
Clothing,Hanoi,CUST0118,2024-12-31,ORD001895,883.64,Product_94,6,cancelled,5301.84,2024,12,31
Electronics,Hanoi,CUST0726,2024-09-24,ORD001896,41.36,Product_67,8,completed,330.88,2024,9,24
Toys,Danang,CUST0670,2024-08-19,ORD001897,75.67,Product_88,4,cancelled,302.68,2024,8,19
Books,HCM,CUST0494,2024-04-25,ORD001898,328.86,Product_92,1,cancelled,328.86,2024,4,25
Clothing,Danang,CUST0410,2024-12-25,ORD001899,154.36,Product_18,8,cancelled,1234.88,2024,12,25
Toys,Haiphong,CUST0515,2024-04-01,ORD001900,554.72,Product_25,5,pending,2773.6000000000004,2024,4,1
Electronics,Hanoi,CUST0835,2024-06-04,ORD001901,770.96,Product_96,2,cancelled,1541.92,2024,6,4
Electronics,Hanoi,CUST0832,2024-02-22,ORD001902,54.0,Product_52,6,cancelled,324.0,2024,2,22
Electronics,Cantho,CUST0960,2024-05-09,ORD001903,602.12,Product_63,10,pending,6021.2,2024,5,9
Toys,Cantho,CUST0252,2024-09-21,ORD001904,843.02,Product_88,5,cancelled,4215.1,2024,9,21
Toys,Haiphong,CUST0679,2024-05-31,ORD001905,297.9,Product_98,3,cancelled,893.6999999999999,2024,5,31
Electronics,Cantho,CUST0342,2024-11-28,ORD001906,458.11,Product_96,5,pending,2290.55,2024,11,28
Food,Cantho,CUST0684,2024-10-10,ORD001907,799.96,Product_79,10,cancelled,7999.6,2024,10,10
Electronics,HCM,CUST0171,2024-08-13,ORD001908,597.4,Product_87,10,cancelled,5974.0,2024,8,13
Electronics,Haiphong,CUST0009,2024-06-01,ORD001909,753.93,Product_22,7,cancelled,5277.509999999999,2024,6,1
Clothing,Cantho,CUST0532,2024-10-02,ORD001910,18.94,Product_13,6,pending,113.64000000000001,2024,10,2
Food,Hanoi,CUST0395,2024-10-22,ORD001911,111.42,Product_80,3,pending,334.26,2024,10,22
Electronics,Cantho,CUST0853,2024-09-02,ORD001912,199.87,Product_93,5,cancelled,999.35,2024,9,2
Food,Cantho,CUST0941,2024-11-02,ORD001913,550.04,Product_22,3,cancelled,1650.12,2024,11,2
Food,Cantho,CUST0279,2024-02-28,ORD001914,412.1,Product_84,9,pending,3708.9,2024,2,28
Clothing,Hanoi,CUST0897,2024-05-17,ORD001915,785.78,Product_36,5,pending,3928.8999999999996,2024,5,17
Electronics,Haiphong,CUST0316,2024-11-28,ORD001916,891.64,Product_34,6,cancelled,5349.84,2024,11,28
Toys,Hanoi,CUST0341,2024-07-13,ORD001917,70.67,Product_92,8,pending,565.36,2024,7,13
Books,HCM,CUST0752,2024-08-23,ORD001918,69.72,Product_15,6,completed,418.32,2024,8,23
Clothing,Haiphong,CUST0364,2024-06-17,ORD001919,145.95,Product_13,7,completed,1021.6499999999999,2024,6,17
Clothing,Haiphong,CUST0148,2024-01-08,ORD001920,901.61,Product_49,1,cancelled,901.61,2024,1,8
