category,city,customer_id,order_date,order_id,price,product_name,quantity,status,total_amount,year,month,day
Books,Hanoi,CUST0979,2024-03-27,ORD006250,537.64,Product_42,1,pending,537.64,2024,3,27
Clothing,Hanoi,CUST0912,2024-01-05,ORD006251,40.41,Product_30,7,cancelled,282.87,2024,1,5
Books,Cantho,CUST0934,2024-05-25,ORD006252,966.43,Product_25,2,completed,1932.86,2024,5,25
Books,Haiphong,CUST0762,2024-12-24,ORD006253,110.67,Product_29,7,pending,774.69,2024,12,24
Toys,Hanoi,CUST0029,2024-09-03,ORD006254,921.22,Product_36,8,cancelled,7369.76,2024,9,3
Clothing,Danang,CUST0678,2024-03-27,ORD006255,33.62,Product_16,3,completed,100.85999999999999,2024,3,27
Toys,Hanoi,CUST0508,2024-02-26,ORD006256,436.82,Product_62,8,pending,3494.56,2024,2,26
Toys,Haiphong,CUST0246,2024-12-15,ORD006257,455.38,Product_51,9,completed,4098.42,2024,12,15
Clothing,Cantho,CUST0027,2024-02-04,ORD006258,690.23,Product_35,2,pending,1380.46,2024,2,4
Food,HCM,CUST0023,2024-04-16,ORD006259,402.15,Product_56,6,cancelled,2412.8999999999996,2024,4,16
Electronics,Danang,CUST0816,2024-11-09,ORD006260,224.46,Product_30,4,pending,897.84,2024,11,9
Electronics,Cantho,CUST0639,2024-09-15,ORD006261,681.34,Product_58,8,completed,5450.72,2024,9,15
Books,HCM,CUST0442,2024-02-03,ORD006262,224.67,Product_44,6,pending,1348.02,2024,2,3
Electronics,Danang,CUST0419,2024-12-30,ORD006263,719.9,Product_21,6,pending,4319.4,2024,12,30
Books,Haiphong,CUST0148,2024-10-04,ORD006264,154.99,Product_78,5,cancelled,774.95,2024,10,4
Clothing,HCM,CUST0946,2024-02-20,ORD006265,863.3,Product_34,10,cancelled,8633.0,2024,2,20
Clothing,HCM,CUST0958,2024-12-09,ORD006266,662.09,Product_9,3,pending,1986.27,2024,12,9
Toys,Danang,CUST0951,2024-09-17,ORD006267,510.38,Product_63,5,completed,2551.9,2024,9,17
Clothing,Haiphong,CUST0891,2024-06-23,ORD006268,105.45,Product_68,9,completed,949.0500000000001,2024,6,23
Books,Haiphong,CUST0341,2024-07-01,ORD006269,213.6,Product_97,6,pending,1281.6,2024,7,1
Clothing,Danang,CUST0549,2024-03-17,ORD006270,360.09,Product_91,9,pending,3240.81,2024,3,17
Food,HCM,CUST0004,2024-12-30,ORD006271,927.13,Product_62,8,pending,7417.04,2024,12,30
Books,Cantho,CUST0060,2024-02-05,ORD006272,439.08,Product_10,1,completed,439.08,2024,2,5
Books,HCM,CUST0112,2024-12-17,ORD006273,752.18,Product_97,10,completed,7521.799999999999,2024,12,17
Clothing,HCM,CUST0871,2024-12-02,ORD006274,111.65,Product_90,10,cancelled,1116.5,2024,12,2
Books,Hanoi,CUST0314,2024-11-23,ORD006275,27.85,Product_26,3,pending,83.55000000000001,2024,11,23
Toys,Cantho,CUST0964,2024-12-26,ORD006276,448.63,Product_64,8,pending,3589.04,2024,12,26
Food,Hanoi,CUST0445,2024-11-17,ORD006277,682.88,Product_58,2,cancelled,1365.76,2024,11,17
Books,Haiphong,CUST0441,2024-12-30,ORD006278,757.34,Product_12,5,cancelled,3786.7000000000003,2024,12,30
Toys,Haiphong,CUST0940,2024-07-25,ORD006279,973.73,Product_54,5,cancelled,4868.65,2024,7,25
Books,Danang,CUST0244,2024-05-04,ORD006280,989.2,Product_1,7,pending,6924.400000000001,2024,5,4
